raw_words,task,quadruples
I had a fantastic experience at Belly Wine Bar .,ACOS,"[{'aspect': {'from': 6, 'to': 9, 'term': ['Belly', 'Wine', 'Bar']}, 'category': 'Restaurant#General', 'opinion': {'from': 3, 'to': 4, 'term': ['fantastic']}, 'sentiment': 'POS'}]"
"Olive is a pretty cute little place , offering an alternative Greek option to Atlanta diners .",ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Olive']}, 'category': 'Restaurant#General', 'opinion': {'from': 3, 'to': 5, 'term': ['pretty', 'cute']}, 'sentiment': 'POS'}]"
FINALLY got around to trying this place since it opened and it was well worth it !,ACOS,"[{'aspect': {'from': 6, 'to': 7, 'term': ['place']}, 'category': 'Restaurant#General', 'opinion': {'from': 13, 'to': 16, 'term': ['well', 'worth', 'it']}, 'sentiment': 'POS'}]"
"The hostess looked at us confused , because our name had been crossed off the list .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['hostess']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
"Finally we order , and then wait , and wait , and wait for 30 minutes for 2 sandwiches to come out .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
They brought us out some complimentary hummus which definitely left something to be desired .,ACOS,"[{'aspect': {'from': 5, 'to': 7, 'term': ['complimentary', 'hummus']}, 'category': 'Food#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
"I love their baked beans - they 're rich and flavourful , and the closest to English baked beans that I 've had here !",ACOS,"[{'aspect': {'from': 3, 'to': 5, 'term': ['baked', 'beans']}, 'category': 'Food#Quality', 'opinion': {'from': 8, 'to': 9, 'term': ['rich']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 5, 'term': ['baked', 'beans']}, 'category': 'Food#Quality', 'opinion': {'from': 1, 'to': 2, 'term': ['love']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 5, 'term': ['baked', 'beans']}, 'category': 'Food#Quality', 'opinion': {'from': 10, 'to': 11, 'term': ['flavourful']}, 'sentiment': 'POS'}]"
killer breakfast .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['breakfast']}, 'category': 'Food#Quality', 'opinion': {'from': 0, 'to': 1, 'term': ['killer']}, 'sentiment': 'POS'}]"
They dont have ho yu gai po on the menu but they made it for me .,ACOS,"[{'aspect': {'from': 11, 'to': 12, 'term': ['they']}, 'category': 'Service#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
A shaved ice place that doesnt try to serve anything else so the decor is pretty minimal .,ACOS,"[{'aspect': {'from': 13, 'to': 14, 'term': ['decor']}, 'category': 'Ambience#General', 'opinion': {'from': 15, 'to': 17, 'term': ['pretty', 'minimal']}, 'sentiment': 'POS'}]"
It 's always so filling and tasty .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Food#Quality', 'opinion': {'from': 6, 'to': 7, 'term': ['tasty']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Food#Quality', 'opinion': {'from': 3, 'to': 5, 'term': ['so', 'filling']}, 'sentiment': 'POS'}]"
We always get the steam pot for 2 '' it 's the best deal with the most Crab : ) Tonight they have a Tuesday special $ 2 Twosdays .,ACOS,"[{'aspect': {'from': 4, 'to': 6, 'term': ['steam', 'pot']}, 'category': 'Food#Prices', 'opinion': {'from': 12, 'to': 13, 'term': ['best']}, 'sentiment': 'POS'}]"
"If this place were to open up in CA , it would be so hyped up and everyone and their moms would come out !",ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['place']}, 'category': 'Restaurant#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"The interior is much finer that you would expect from the outside - as the hostess led us to our table , I suddenly felt underdressed in my tank top and jeans while weaving through well dressed patrons in pantsuits and dresses .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['interior']}, 'category': 'Ambience#General', 'opinion': {'from': 3, 'to': 5, 'term': ['much', 'finer']}, 'sentiment': 'POS'}]"
