judging from previous posts this used to be a good place , but not any longer .	10,11 RESTAURANT#GENERAL 0 13,16			
we , there were four of us , arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude .	19,20 SERVICE#GENERAL 0 31,32			
they never brought us complimentary noodles , ignored repeated requests for sugar , and threw our dishes on the table .	-1,-1 SERVICE#GENERAL 0 -1,-1			
the food was lousy - too sweet or too salty and the portions tiny .	1,2 FOOD#QUALITY 0 3,4	1,2 FOOD#QUALITY 0 5,7	1,2 FOOD#QUALITY 0 8,10	12,13 FOOD#STYLE_OPTIONS 0 13,14
after all that , they complained to me about the small tip .	-1,-1 SERVICE#GENERAL 0 5,6			
avoid this place !	2,3 RESTAURANT#GENERAL 0 0,1			
i have eaten at saul , many times , the food is always consistently , outrageously good .	10,11 FOOD#QUALITY 2 15,17			
saul is the best restaurant on smith street and in brooklyn .	0,1 RESTAURANT#GENERAL 2 3,4			
the duck confit is always amazing and the foie gras terrine with figs was out of this world .	8,13 FOOD#QUALITY 2 14,18	1,3 FOOD#QUALITY 2 5,6		
the wine list is interesting and has many good values .	1,3 DRINKS#STYLE_OPTIONS 2 4,5	1,3 DRINKS#PRICES 2 8,10		
for the price , you can not eat this well in manhattan .	-1,-1 RESTAURANT#PRICES 2 9,10	-1,-1 FOOD#QUALITY 2 9,10		
i was very disappointed with this restaurant .	6,7 RESTAURANT#GENERAL 0 3,4			
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away .	3,5 SERVICE#GENERAL 0 -1,-1			
i had to ask her three times before she finally came back with the dish ive requested .	-1,-1 SERVICE#GENERAL 0 -1,-1			
food was okay , nothing great .	0,1 FOOD#QUALITY 1 2,3	0,1 FOOD#QUALITY 1 4,6		
chow fun was dry ; pork shu mai was more than usually greasy and had to share a table with loud and rude family .	0,2 FOOD#QUALITY 0 3,4	5,8 FOOD#QUALITY 0 12,13	-1,-1 AMBIENCE#GENERAL 0 20,21	-1,-1 AMBIENCE#GENERAL 0 22,23
i / we will never go back to this place again .	9,10 RESTAURANT#GENERAL 0 4,7			
went on a 3 day oyster binge , with fish bringing up the closing , and i am so glad this was the place it o trip ended , because it was so great !	9,10 RESTAURANT#GENERAL 2 33,34	-1,-1 RESTAURANT#GENERAL 2 19,20		
service was devine , oysters where a sensual as they come , and the price ca n ' t be beat ! ! !	0,1 SERVICE#GENERAL 2 2,3	4,5 FOOD#QUALITY 2 7,8	-1,-1 RESTAURANT#PRICES 2 -1,-1	
you ca n ' t go wrong here .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
every time in new york i make it a point to visit restaurant saul on smith street .	12,14 RESTAURANT#GENERAL 2 -1,-1			
everything is always cooked to perfection , the service is excellent , the decor cool and understated .	8,9 SERVICE#GENERAL 2 10,11	13,14 AMBIENCE#GENERAL 2 14,15	13,14 AMBIENCE#GENERAL 2 16,17	-1,-1 FOOD#QUALITY 2 5,6
i had the duck breast special on my last visit and it was incredible .	3,6 FOOD#QUALITY 2 13,14			
and i hate to say this but i doubt i ' ll ever go back .	-1,-1 RESTAURANT#GENERAL 0 8,9			
the food is very average . . . the thai fusion stuff is a bit too sweet , every thing they serve is too sweet here .	1,2 FOOD#QUALITY 0 4,5	9,12 FOOD#QUALITY 0 15,17	-1,-1 FOOD#QUALITY 0 23,25	
the only thing i moderately enjoyed was their grilled chicken special with edamame puree .	8,14 FOOD#QUALITY 2 5,6			
i had never had edamame pureed before but i thought it was innovative and tasty ( could ' ve used a bit more salt ) .	4,6 FOOD#QUALITY 2 14,15	4,6 FOOD#STYLE_OPTIONS 2 12,13		
the decor is night tho . . . but they really need to clean that vent in the ceiling . . . its quite un - appetizing , and kills your effort to make this place look sleek and modern .	35,36 AMBIENCE#GENERAL 0 37,38	35,36 AMBIENCE#GENERAL 0 39,40	1,2 AMBIENCE#GENERAL 2 3,4	15,16 AMBIENCE#GENERAL 0 24,27
we went around 9 : 30 on a friday and it had died down a bit by then so the service was great !	20,21 SERVICE#GENERAL 2 22,23			
the perfect spot .	2,3 RESTAURANT#GENERAL 2 1,2			
food - awesome .	0,1 FOOD#QUALITY 1 2,3			
service - friendly and attentive .	0,1 SERVICE#GENERAL 2 2,3	0,1 SERVICE#GENERAL 2 4,5		
ambiance - relaxed and stylish .	0,1 AMBIENCE#GENERAL 2 2,3	0,1 AMBIENCE#GENERAL 2 4,5		
do n ' t judge this place prima facie , you have to try it to believe it , a home away from home for the literate heart .	6,7 RESTAURANT#GENERAL 2 -1,-1			
the food is decent .	1,2 FOOD#QUALITY 1 3,4			
however , it ' s the service that leaves a bad taste in my mouth .	6,7 SERVICE#GENERAL 0 10,12			
i happen to have a policy that goes along with a little bit of self - respect , which includes not letting a waiter intimidate me , i . e . make me feel bad asking for trivialities like water , or the check .	23,24 SERVICE#GENERAL 0 34,35			
i know , you were too busy showing off your vintage tee shirt and looking bored , but my agenda is i ' m here to eat and enjoy the company of friends , seeking a pleasant experience .	-1,-1 SERVICE#GENERAL 0 -1,-1	-1,-1 SERVICE#GENERAL 0 -1,-1		
well , i did n ' t find it there , and trust , i have told everyone i can think of about my experience .	-1,-1 RESTAURANT#GENERAL 0 -1,-1			
the last time i walked by it looked pretty empty . hmmm .	-1,-1 RESTAURANT#MISCELLANEOUS 0 9,10			
i had a great experience .	-1,-1 RESTAURANT#GENERAL 2 3,4			
food is great .	0,1 FOOD#QUALITY 2 2,3			
service is top notch .	0,1 SERVICE#GENERAL 2 2,4			
i have been going back again and again .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
it melted in my little mouth and the perfect consistency - not too fishy , creamy , and slightly buttery .	-1,-1 FOOD#QUALITY 2 8,10			
the sushi seemed pretty fresh and was adequately proportioned .	1,2 FOOD#QUALITY 2 4,5	1,2 FOOD#STYLE_OPTIONS 2 8,9		
the rice to fish ration was also good - - they did n ' t try to overpack the rice .	1,5 FOOD#STYLE_OPTIONS 2 7,8			
we took advanatage of the half price sushi deal on saturday so it was well worth it .	5,9 FOOD#QUALITY 2 15,16			
surprisingly nothing could be further from the truth .	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,1			
in the evening , this place attracted a well dressed , with it , ny crowd .	15,16 RESTAURANT#MISCELLANEOUS 2 6,7			
the food was well prepared and the service impecable .	1,2 FOOD#QUALITY 2 3,5	7,8 SERVICE#GENERAL 2 8,9		
i ' m going back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			
quite simply it ' s like stepping out of manhattan and into a haven of tranquility .	-1,-1 AMBIENCE#GENERAL 2 15,16			
i will be going back and heartily recommend it !	-1,-1 RESTAURANT#GENERAL 2 7,8			
it is terrific , as is the value .	-1,-1 FOOD#QUALITY 2 2,3	-1,-1 FOOD#PRICES 2 2,3		
$ 6 and there is much tasty food , all of it fresh and continually refilled .	7,8 FOOD#STYLE_OPTIONS 2 15,16	7,8 FOOD#QUALITY 2 6,7	7,8 FOOD#QUALITY 2 12,13	7,8 FOOD#PRICES 2 -1,-1
i am not a vegetarian but , almost all the dishes were great .	10,11 FOOD#QUALITY 2 12,13			
